Lead Market Participant  Project Data,,,,,,,,,,
Resource Details,Internal Checklist ID,Resource ID,Name,Lead Participant,Proposal ID,Project Name,Project Type,Claimed Summer MW,Claimed Winter MW,FERC
,Revenue Quality Meter,Schweitzer Engineering Laboratories - SEL-735,1/4/21,2/15/21,2/26/21,,,,,
CPS Completed Milestones - Major Permits - Financing - Equipment - Other,Description,Milestone Date,Milestone Type,Documentation Upload,,,,,,
,Site Plan Approval/Town of Northbridge/MA,5/11/2018,Date when permit application is to be submitted,2018-07-10 - Northbridge I - Site Plan Approval.pdf,,,,,,
,Site Plan Approval/Town of Northbridge/MA,8/15/2018,Date when permit application is to be approved,2018-07-10 - Northbridge I - Site Plan Approval.pdf,,,,,,
,Order of Conditions/Town of Northbridge Conservation Commission/MA,5/18/2018,Date when permit application is to be submitted,2018-08-15 - Northbridge I - Order of Conditions (Recorded).pdf,,,,,,
,Order of Conditions/Town of Northbridge Conservation Commission/MA,8/15/2018,Date when permit application is to be approved,2018-08-15 - Northbridge I - Order of Conditions (Recorded).pdf,,,,,,
,Firstar Development/6747740,6/1/2018,Date when funding is scheduled to be secured.,Financing Letter - Syncarpha Northbridge I Solar.pdf,,,,,,
,"SPME Solar IV, LLC/12985256",1/1/2018,Date when funding is scheduled to be secured.,Financing Letter - Syncarpha Northbridge I Battery.pdf,,,,,,
,Sungrow/Model #: SG60KU-M,7/1/2019,Date when equipment is scheduled to be ordered,2019-07-05 - Syncarpha Northbridge I - ENGIE - PO - (ARC PO#2019-007).pdf,,,,,,
,Sungrow/Model #: SG60KU-M,10/31/2019,Date when equipment is scheduled to be delivered,2019-07-05 - Syncarpha Northbridge I - ENGIE - PO - (ARC PO#2019-007).pdf,,,,,,
,Sungrow/Model #: SG60KU-M,11/30/2020,Date when equipment is scheduled to be tested,"2020-12-05 - Syncarpha Portfolio - Monthly Report, November, 2020.pdf",,,,,,
,Inverters/Model TBD,8/31/2020,Date when equipment is scheduled to be ordered,"2020-12-05 - Syncarpha Portfolio - Monthly Report, November, 2020.pdf",,,,,,
,Inverters/Model TBD,11/16/2020,Date when equipment is scheduled to be delivered,"2020-12-05 - Syncarpha Portfolio - Monthly Report, November, 2020.pdf",,,,,,
,Inverters/Model TBD,11/30/2020,Date when equipment is scheduled to be tested,"2020-12-05 - Syncarpha Portfolio - Monthly Report, November, 2020.pdf",,,,,,
